
Demographic Label, Site

Demographic Label, Cohort
Cluster, 0, 43
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 12, 0.28
CONTROL, 31, 0.72

Cluster, 1, 32
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 11, 0.34
CONTROL, 21, 0.66

Cluster, 0, 36
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 8, 0.22
CONTROL, 28, 0.78

Cluster, 1, 85
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 27, 0.32
CONTROL, 58, 0.68

Cluster, 0, 81
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 27, 0.33
CONTROL, 54, 0.67

Cluster, 1, 36
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 7, 0.19
CONTROL, 29, 0.81

Cluster, 0, 56
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 16, 0.29
CONTROL, 40, 0.71

Cluster, 1, 65
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 19, 0.29
CONTROL, 46, 0.71

Cluster, 0, 24
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 9, 0.38
CONTROL, 15, 0.62

Cluster, 1, 45
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 11, 0.24
CONTROL, 34, 0.76

Cluster, 0, 54
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 16, 0.3
CONTROL, 38, 0.7

Cluster, 1, 6
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 1, 0.17
CONTROL, 5, 0.83

Cluster, 0, 56
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 12, 0.21
CONTROL, 44, 0.79

Cluster, 1, 42
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 14, 0.33
CONTROL, 28, 0.67

Cluster, 0, 17
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 8, 0.47
CONTROL, 9, 0.53

Cluster, 1, 72
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 16, 0.22
CONTROL, 56, 0.78

Cluster, 0, 70
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 19, 0.27
CONTROL, 51, 0.73

Cluster, 1, 11
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 4, 0.36
CONTROL, 7, 0.64

Cluster, 0, 36
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 12, 0.33
CONTROL, 24, 0.67

Cluster, 1, 15
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 4, 0.27
CONTROL, 11, 0.73

Cluster, 0, 17
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 5, 0.29
CONTROL, 12, 0.71

Cluster, 1, 72
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 20, 0.28
CONTROL, 52, 0.72

Cluster, 0, 74
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 22, 0.3
CONTROL, 52, 0.7

Cluster, 1, 14
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 3, 0.21
CONTROL, 11, 0.79


Demographic Label, Sex
Cluster, 0, 47
Original value, count of class in cluster, percentage of cluster made up of class
Female, 22, 0.47
Male, 21, 0.45
Unknown, 4, 0.09

Cluster, 1, 56
Original value, count of class in cluster, percentage of cluster made up of class
Female, 28, 0.5
Male, 25, 0.45
Unknown, 3, 0.05

Cluster, 2, 18
Original value, count of class in cluster, percentage of cluster made up of class
Female, 9, 0.5
Male, 7, 0.39
Unknown, 2, 0.11

Cluster, 0, 51
Original value, count of class in cluster, percentage of cluster made up of class
Female, 26, 0.51
Male, 22, 0.43
Unknown, 3, 0.06

Cluster, 1, 26
Original value, count of class in cluster, percentage of cluster made up of class
Female, 10, 0.38
Male, 15, 0.58
Unknown, 1, 0.04

Cluster, 2, 13
Original value, count of class in cluster, percentage of cluster made up of class
Female, 7, 0.54
Male, 5, 0.38
Unknown, 1, 0.08

Cluster, 0, 46
Original value, count of class in cluster, percentage of cluster made up of class
Female, 23, 0.5
Male, 20, 0.43
Unknown, 3, 0.07

Cluster, 1, 22
Original value, count of class in cluster, percentage of cluster made up of class
Female, 13, 0.59
