
Demographic Label, Site
Cluster, 0, 37
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 11, 0.3
CHP, 26, 0.7

Cluster, 1, 96
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 13, 0.14
CHP, 83, 0.86

Cluster, 0, 94
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 24, 0.26
CHP, 70, 0.74

Cluster, 1, 39
Original value, count of class in cluster, percentage of cluster made up of class
CHP, 39, 1.0

Cluster, 0, 124
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 22, 0.18
CHP, 102, 0.82

Cluster, 1, 14
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 2, 0.14
CHP, 12, 0.86

Cluster, 0, 94
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 16, 0.17
CHP, 78, 0.83

Cluster, 1, 45
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 8, 0.18
CHP, 37, 0.82

Cluster, 0, 10
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 2, 0.2
CHP, 8, 0.8

Cluster, 1, 58
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 6, 0.1
CHP, 52, 0.9

Cluster, 0, 26
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 7, 0.27
CHP, 19, 0.73

Cluster, 1, 100
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 17, 0.17
CHP, 83, 0.83

Cluster, 0, 13
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 2, 0.15
CHP, 11, 0.85

Cluster, 1, 100
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 14, 0.14
CHP, 86, 0.86

Cluster, 0, 13
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 2, 0.15
CHP, 11, 0.85

Cluster, 1, 101
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 17, 0.17
CHP, 84, 0.83

Cluster, 0, 20
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 6, 0.3
CHP, 14, 0.7

Cluster, 1, 106
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 18, 0.17
CHP, 88, 0.83

Cluster, 0, 14
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 1, 0.07
CHP, 13, 0.93

Cluster, 1, 125
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 23, 0.18
CHP, 102, 0.82

Cluster, 0, 12
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 2, 0.17
CHP, 10, 0.83

Cluster, 1, 103
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 14, 0.14
CHP, 89, 0.86


Demographic Label, Cohort
Cluster, 0, 37
