
Demographic Label, Site
Cluster, 0, 29
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 8, 0.28
CHP, 21, 0.72

Cluster, 1, 104
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 16, 0.15
CHP, 88, 0.85

Cluster, 0, 40
Original value, count of class in cluster, percentage of cluster made up of class
CHP, 40, 1.0

Cluster, 1, 93
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 24, 0.26
CHP, 69, 0.74

Cluster, 0, 122
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 21, 0.17
CHP, 101, 0.83

Cluster, 1, 16
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 3, 0.19
CHP, 13, 0.81

Cluster, 0, 94
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 16, 0.17
CHP, 78, 0.83

Cluster, 1, 45
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 8, 0.18
CHP, 37, 0.82

Cluster, 0, 21
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 3, 0.14
CHP, 18, 0.86

Cluster, 1, 52
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 5, 0.1
CHP, 47, 0.9

Cluster, 0, 106
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 18, 0.17
CHP, 88, 0.83

Cluster, 1, 20
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 6, 0.3
CHP, 14, 0.7

Cluster, 0, 64
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 3, 0.05
CHP, 61, 0.95

Cluster, 0, 62
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 3, 0.05
CHP, 59, 0.95

Cluster, 0, 48
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 5, 0.1
CHP, 43, 0.9

Cluster, 1, 23
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 3, 0.13
CHP, 20, 0.87

Cluster, 0, 107
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 18, 0.17
CHP, 89, 0.83

Cluster, 1, 19
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 6, 0.32
CHP, 13, 0.68

Cluster, 0, 14
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 1, 0.07
CHP, 13, 0.93

Cluster, 1, 125
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 23, 0.18
CHP, 102, 0.82

Cluster, 0, 110
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 17, 0.15
CHP, 93, 0.85

Cluster, 1, 17
Original value, count of class in cluster, percentage of cluster made up of class
CHLA, 6, 0.35
CHP, 11, 0.65


Demographic Label, Cohort
Cluster, 0, 29
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 9, 0.31
CONTROL, 20, 0.69

Cluster, 1, 104
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 54, 0.52
CONTROL, 50, 0.48

Cluster, 0, 40
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 19, 0.48
CONTROL, 21, 0.52

Cluster, 1, 93
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 44, 0.47
CONTROL, 49, 0.53

Cluster, 0, 122
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 58, 0.48
CONTROL, 64, 0.52

Cluster, 1, 16
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 7, 0.44
CONTROL, 9, 0.56

Cluster, 0, 94
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 40, 0.43
