
Demographic Label, Site

Demographic Label, Cohort
Cluster, 0, 53
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 27, 0.51
CONTROL, 26, 0.49

Cluster, 1, 266
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 145, 0.55
CONTROL, 121, 0.45

Cluster, 0, 132
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 83, 0.63
CONTROL, 49, 0.37

Cluster, 1, 152
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 97, 0.64
CONTROL, 55, 0.36

Cluster, 0, 35
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 19, 0.54
CONTROL, 16, 0.46

Cluster, 1, 256
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 164, 0.64
CONTROL, 92, 0.36

Cluster, 0, 47
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 35, 0.74
CONTROL, 12, 0.26

Cluster, 1, 255
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 148, 0.58
CONTROL, 107, 0.42

Cluster, 0, 47
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 17, 0.36
CONTROL, 30, 0.64

Cluster, 1, 302
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 166, 0.55
CONTROL, 136, 0.45

Cluster, 0, 40
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 26, 0.65
CONTROL, 14, 0.35

Cluster, 1, 266
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 171, 0.64
CONTROL, 95, 0.36

Cluster, 0, 46
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 28, 0.61
CONTROL, 18, 0.39

Cluster, 1, 231
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 143, 0.62
CONTROL, 88, 0.38

Cluster, 0, 217
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 142, 0.65
CONTROL, 75, 0.35

Cluster, 1, 27
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 17, 0.63
CONTROL, 10, 0.37

Cluster, 0, 279
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 155, 0.56
CONTROL, 124, 0.44

Cluster, 1, 68
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 28, 0.41
CONTROL, 40, 0.59

