
Demographic Label, Site
Cluster, 0, 66
Original value, count of class in cluster, percentage of cluster made up of class
BOSTON, 35, 0.53
CHOP, 31, 0.47

Cluster, 0, 131
Original value, count of class in cluster, percentage of cluster made up of class
BOSTON, 55, 0.42
CCHMC, 4, 0.03
CHLA, 15, 0.11
CHOP, 55, 0.42
Columbia, 2, 0.02

Cluster, 0, 130
Original value, count of class in cluster, percentage of cluster made up of class
BOSTON, 55, 0.42
CCHMC, 4, 0.03
CHLA, 14, 0.11
CHOP, 55, 0.42
Columbia, 2, 0.02

Cluster, 0, 65
Original value, count of class in cluster, percentage of cluster made up of class
BOSTON, 34, 0.52
CHOP, 31, 0.48

Cluster, 0, 132
Original value, count of class in cluster, percentage of cluster made up of class
BOSTON, 56, 0.42
CCHMC, 4, 0.03
CHLA, 14, 0.11
CHOP, 56, 0.42
Columbia, 2, 0.02

Cluster, 0, 129
Original value, count of class in cluster, percentage of cluster made up of class
BOSTON, 55, 0.43
CCHMC, 4, 0.03
CHLA, 13, 0.1
CHOP, 55, 0.43
Columbia, 2, 0.02


Demographic Label, Cohort
Cluster, 0, 37
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 19, 0.51
CONTROL, 18, 0.49

Cluster, 1, 280
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 151, 0.54
CONTROL, 129, 0.46

Cluster, 0, 77
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 46, 0.6
CONTROL, 31, 0.4

Cluster, 1, 209
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 135, 0.65
CONTROL, 74, 0.35

Cluster, 0, 218
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 138, 0.63
CONTROL, 80, 0.37

Cluster, 1, 64
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 37, 0.58
CONTROL, 27, 0.42

Cluster, 0, 47
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 35, 0.74
CONTROL, 12, 0.26

Cluster, 1, 255
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 148, 0.58
