
Demographic Label, Site

Demographic Label, Cohort
Cluster, 0, 243
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 119, 0.49
CONTROL, 124, 0.51

Cluster, 1, 42
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 26, 0.62
CONTROL, 16, 0.38

Cluster, 0, 223
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 139, 0.62
CONTROL, 84, 0.38

Cluster, 1, 43
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 24, 0.56
CONTROL, 19, 0.44

Cluster, 0, 30
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 18, 0.6
CONTROL, 12, 0.4

Cluster, 1, 256
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 160, 0.62
CONTROL, 96, 0.38

Cluster, 0, 47
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 35, 0.74
CONTROL, 12, 0.26

Cluster, 1, 255
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 148, 0.58
CONTROL, 107, 0.42

Cluster, 0, 239
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 135, 0.56
CONTROL, 104, 0.44

Cluster, 1, 44
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 20, 0.45
CONTROL, 24, 0.55

Cluster, 0, 228
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 138, 0.61
CONTROL, 90, 0.39

Cluster, 1, 63
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 37, 0.59
CONTROL, 26, 0.41

Cluster, 0, 236
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 151, 0.64
CONTROL, 85, 0.36

Cluster, 1, 39
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 22, 0.56
CONTROL, 17, 0.44

Cluster, 0, 105
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 74, 0.7
CONTROL, 31, 0.3

Cluster, 1, 19
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 13, 0.68
CONTROL, 6, 0.32

Cluster, 0, 242
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 137, 0.57
CONTROL, 105, 0.43

Cluster, 1, 43
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 19, 0.44
CONTROL, 24, 0.56

Cluster, 0, 219
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 131, 0.6
CONTROL, 88, 0.4

Cluster, 1, 71
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 41, 0.58
CONTROL, 30, 0.42

Cluster, 0, 233
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 151, 0.65
CONTROL, 82, 0.35

Cluster, 1, 42
Original value, count of class in cluster, percentage of cluster made up of class
CHD, 22, 0.52
CONTROL, 20, 0.48

Cluster, 0, 173
